index, T_sto_HT [K], T_sto_LT [K], glide [K], W_dot_exp [W], p_ev [Pa], p_cd [Pa], rp_exp [-], Q_dot_cd [W], Q_dot_ev [W], eta_ORC [-], m_dot_w_cd [kg/s], m_dot_w_ev [kg/s], T_tap [K], Nb_exp [-], m_dot_r [kg/s]
94,60.0,336.15,3.0,740.4099469753319,375062.6853407843,115055.31299899147,3.2598467255838237,18006.052517773205,18789.259945750866,0.03940601966831447,1.434936404236212,1.4968796425081492,20.0,1.0,0.08299883330862047
95,60.0,336.15,3.0,1474.7707835629105,374569.90136590047,115046.51411621096,3.255812696658843,35964.8556354303,37710.37070384641,0.03910783044655898,2.866107414350753,3.004263413301114,20.0,2.0,0.16578598081363732
96,60.0,336.15,3.0,2211.4412733947156,374533.73634387256,115047.33258032858,3.255475185244863,53942.12805893554,56647.50385408379,0.03903863582570355,4.298750278404202,4.512923636316819,20.0,3.0,0.2486556673888742
97,60.0,338.15,5.0,646.7486825188214,359929.7663875246,114859.71895883369,3.1336465877696016,17282.695801390168,17986.083188982175,0.035958283731001725,0.8264867022189277,0.8598196456170935,20.0,1.0,0.07974824895099292
98,60.0,338.15,5.0,1282.931465130851,359726.3218702243,115217.82283419296,3.122141288747465,34553.424888791706,36113.84857882517,0.035524639871339525,1.6524011366565718,1.7264123689773738,20.0,2.0,0.15940899020988877
99,60.0,338.15,5.0,1931.6499619576425,359650.8649870341,114958.31454251944,3.1285328635712615,51811.33604347797,54240.27713868567,0.03561283355943504,2.477702596645041,2.592941185556521,20.0,3.0,0.23906496191041138
100,60.0,340.15,7.0,555.512763494123,345130.78918062674,114645.89287010189,3.0104069194321066,16577.806714137823,17201.10760132854,0.03229517403002686,0.5663390613343242,0.5874080709193967,20.0,1.0,0.07656870859064147
101,60.0,340.15,7.0,1101.0455943518466,344683.638400414,114839.7596113282,3.0014312078585474,33117.2059335763,34504.95574466803,0.031909781380374286,1.1313660272345953,1.1783246730907695,20.0,2.0,0.15294519497149087
102,60.0,340.15,7.0,1649.3388701047759,344523.23290420603,114815.47279232704,3.000669025919214,49652.26000116775,51805.79065419935,0.031836959715835965,1.6962445519531815,1.7691383750362089,20.0,3.0,0.22931439690373423
103,60.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
104,60.0,342.15,9.0,906.0560346059733,329099.2456188997,114752.51262287579,2.867904485023835,31641.45734151858,32848.595969031485,0.027582793354704458,0.8408315364578651,0.8725595035860032,20.0,2.0,0.14624630182488618
105,60.0,342.15,9.0,1355.7061436586478,328891.0100678239,114735.58054303417,2.8665127984816,47432.178880683576,49306.63269942576,0.027495411254770938,1.2604499032810788,1.309735459995578,20.0,3.0,0.21923516716967628
106,60.0,344.15,11.0,361.6202145928801,314473.89422954567,114673.10453987384,2.742350924319814,15131.029208132813,15587.249100548985,0.02319974565493688,0.3290130364054136,0.33879359465885606,20.0,1.0,0.06997841707286374
107,60.0,344.15,11.0,1162.3253253303888,305148.1036978427,89725.1350063092,3.4009210872336455,28880.186890969115,30466.430030042047,0.03815101815947106,0.6279782987826327,0.6621971125063325,20.0,2.0,0.1359513629916773
108,60.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
